5.299999999999999850e-02 5.700000000000000205e-02 6.700000000000000400e-02 6.300000000000000044e-02 6.400000000000000133e-02 7.099999999999999367e-02 7.599999999999999811e-02 5.800000000000000294e-02
4.100000000000000172e-02 4.499999999999999833e-02 8.699999999999999400e-02 7.199999999999999456e-02 7.199999999999999456e-02 7.099999999999999367e-02 8.400000000000000522e-02 7.099999999999999367e-02
6.900000000000000577e-02 6.199999999999999956e-02 6.300000000000000044e-02 7.599999999999999811e-02 7.699999999999999900e-02 8.300000000000000433e-02 5.000000000000000278e-02 7.699999999999999900e-02
5.700000000000000205e-02 5.600000000000000117e-02 6.099999999999999867e-02 6.800000000000000488e-02 5.500000000000000028e-02 7.399999999999999634e-02 6.900000000000000577e-02 5.800000000000000294e-02
7.799999999999999989e-02 5.399999999999999939e-02 5.899999999999999689e-02 5.500000000000000028e-02 6.500000000000000222e-02 8.599999999999999312e-02 8.300000000000000433e-02 5.899999999999999689e-02
3.799999999999999906e-02 5.399999999999999939e-02 7.299999999999999545e-02 8.200000000000000344e-02 7.599999999999999811e-02 5.600000000000000117e-02 8.899999999999999578e-02 8.400000000000000522e-02
5.299999999999999850e-02 6.300000000000000044e-02 6.500000000000000222e-02 5.399999999999999939e-02 7.000000000000000666e-02 8.400000000000000522e-02 7.299999999999999545e-02 5.700000000000000205e-02
5.500000000000000028e-02 5.899999999999999689e-02 5.600000000000000117e-02 6.800000000000000488e-02 7.499999999999999722e-02 6.099999999999999867e-02 6.500000000000000222e-02 8.599999999999999312e-02
6.400000000000000133e-02 5.800000000000000294e-02 6.800000000000000488e-02 5.899999999999999689e-02 6.099999999999999867e-02 6.199999999999999956e-02 6.600000000000000311e-02 6.800000000000000488e-02
4.800000000000000100e-02 6.300000000000000044e-02 5.000000000000000278e-02 5.600000000000000117e-02 7.499999999999999722e-02 7.099999999999999367e-02 6.600000000000000311e-02 6.700000000000000400e-02
5.299999999999999850e-02 4.100000000000000172e-02 5.500000000000000028e-02 6.500000000000000222e-02 6.600000000000000311e-02 7.199999999999999456e-02 7.199999999999999456e-02 6.900000000000000577e-02
